============================================================
bootstrap: 過去データ一括取得
対象 dataspec: RACE, DIFN, HOSE, BLOD, SLOP, WOOD, HOYU, YSCH, TOKU, COMM, MING
option = 4 (ダイアログなしセットアップ)
fromtime = 20210101000000
============================================================

[01:23:20] read: {'dataspec': 'RACE', 'files_done': 772, 'records': 699034, 'file': 'JGVM2025039920250331142642.jvd'}
[01:23:25] read: {'dataspec': 'RACE', 'files_done': 780, 'records': 702378, 'file': 'RAVM2025039920250331142653.jvd'}
[01:23:30] read: {'dataspec': 'RACE', 'files_done': 781, 'records': 705983, 'file': 'SEVM2025039920250331142653.jvd'}
[01:23:35] read: {'dataspec': 'RACE', 'files_done': 787, 'records': 709409, 'file': 'JGVM2025049920250502152832.jvd'}
[01:23:40] read: {'dataspec': 'RACE', 'files_done': 787, 'records': 712979, 'file': 'JGVM2025049920250502152832.jvd'}
[01:23:45] read: {'dataspec': 'RACE', 'files_done': 796, 'records': 716280, 'file': 'SEVM2025049920250502152842.jvd'}
[01:23:50] read: {'dataspec': 'RACE', 'files_done': 796, 'records': 719880, 'file': 'SEVM2025049920250502152842.jvd'}
[01:23:55] read: {'dataspec': 'RACE', 'files_done': 801, 'records': 723237, 'file': 'HRVM2025059920250602143946.jvd'}
[01:24:00] read: {'dataspec': 'RACE', 'files_done': 802, 'records': 726824, 'file': 'JGVM2025059920250602144111.jvd'}
[01:24:05] read: {'dataspec': 'RACE', 'files_done': 810, 'records': 730171, 'file': 'RAVM2025059920250602144122.jvd'}
[01:24:10] read: {'dataspec': 'RACE', 'files_done': 811, 'records': 733799, 'file': 'SEVM2025059920250602144122.jvd'}
[01:24:15] read: {'dataspec': 'RACE', 'files_done': 813, 'records': 737237, 'file': 'H1VM2025069920250630141943.jvd'}
[01:24:20] read: {'dataspec': 'RACE', 'files_done': 817, 'records': 740686, 'file': 'JGVM2025069920250630142113.jvd'}
